Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 551,A/C Executive (2+3),15:30,05h 55m,21:25,3.9,INR 400,"40 Seats available
13 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 551,A/C Executive (2+3),15:30,05h 55m,21:25,3.9,INR 400,"40 Seats available
13 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,05h 50m,22:40,3.9,INR 290,"27 Seats available
8 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,05h 50m,22:40,3.9,INR 290,"27 Seats available
8 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 526,Ordinary 3+2 Non AC Seater,17:00,06h 00m,23:00,3.9,INR 275,"33 Seats available
10 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 526,Ordinary 3+2 Non AC Seater,17:00,06h 00m,23:00,3.9,INR 275,"33 Seats available
10 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,05h 41m,23:40,3.9,INR 290,"27 Seats available
8 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,05h 41m,23:40,3.9,INR 290,"27 Seats available
8 Window"
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,
