Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,3.9,2504,"21 Seats available
8 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,3.9,2504,"21 Seats available
8 Single"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),16:00,19h 30m,11:30,2.2,INR 3000,"47 Seats available
21 Window"
Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),16:00,19h 30m,11:30,2.2,INR 3000,"47 Seats available
21 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,JKRTC - 169882,A/C Seater Executive (2+1),07:30,01h 00m,08:30,1.2,INR 166,"19 Seats available
5 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,JKRTC - 169882,A/C Seater Executive (2+1),07:30,01h 00m,08:30,1.2,INR 166,"19 Seats available
5 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),02:55,00h 30m,03:25,3.2,299,"51 Seats available
23 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),02:55,00h 30m,03:25,3.2,299,"51 Seats available
23 Window"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Moon Light Travels Katra,A/C Sleeper (2+2),05:00,02h 00m,07:00,4.1,552,"38 Seats available
2 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Moon Light Travels Katra,A/C Sleeper (2+2),05:00,02h 00m,07:00,4.1,552,"38 Seats available
2 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),06:00,01h 30m,07:30,4.4,INR 579,"33 Seats available
8 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),06:00,01h 30m,07:30,4.4,INR 579,"33 Seats available
8 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),06:15,04h 55m,11:10,4.5,312,"11 Seats available
3 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),06:15,04h 55m,11:10,4.5,312,"11 Seats available
3 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,City Land Travels,A/C Seater/Sleeper (2+1),07:00,01h 00m,08:00,3.5,486,"33 Seats available
12 Single"
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,City Land Travels,A/C Seater/Sleeper (2+1),07:00,01h 00m,08:00,3.5,486,"33 Seats available
12 Single"
