Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.8,INR 711,"30 Seats available
13 Window"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.8,INR 711,"30 Seats available
13 Window"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:31,04h 59m,22:30,4.0,INR 711,"20 Seats available
8 Window"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:31,04h 59m,22:30,4.0,INR 711,"20 Seats available
8 Window"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,4.6,INR 3300,48 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,4.6,INR 3300,48 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.6,INR 3850,"35 Seats available
11 Single"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.6,INR 3850,"35 Seats available
11 Single"
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),16:30,07h 00m,23:30,4.6,INR 3300,49 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),16:30,07h 00m,23:30,4.6,INR 3300,49 Seats available
