Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8935,Super Luxury (Non AC Seater 2+2 Push Back),00:20,03h 50m,04:10,3.7,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8935,Super Luxury (Non AC Seater 2+2 Push Back),00:20,03h 50m,04:10,3.7,INR 320,31 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8987,Super Luxury (Non AC Seater 2+2 Push Back),00:25,03h 55m,04:20,3.6,INR 320,11 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8987,Super Luxury (Non AC Seater 2+2 Push Back),00:25,03h 55m,04:20,3.6,INR 320,11 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 34333,LAHARI A/C SLEEPER CUM SEATER,00:50,04h 10m,05:00,3.1,INR 389,"23 Seats available
9 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 34333,LAHARI A/C SLEEPER CUM SEATER,00:50,04h 10m,05:00,3.1,INR 389,"23 Seats available
9 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8885,Lahari Non A/C Sleeper Cum Seater,01:15,04h 00m,05:15,4.4,INR 320,9 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8885,Lahari Non A/C Sleeper Cum Seater,01:15,04h 00m,05:15,4.4,INR 320,9 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8949,RAJDHANI (A.C. Semi Sleeper),01:15,03h 55m,05:10,2.2,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8949,RAJDHANI (A.C. Semi Sleeper),01:15,03h 55m,05:10,2.2,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8653,RAJADHANI AC (CONVERTED METRO LUXURY),03:00,04h 00m,07:00,4.5,INR 389,"33 Seats available
16 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8653,RAJADHANI AC (CONVERTED METRO LUXURY),03:00,04h 00m,07:00,4.5,INR 389,"33 Seats available
16 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8631,RAJADHANI AC (CONVERTED METRO LUXURY),03:30,04h 00m,07:30,3.6,INR 389,"32 Seats available
14 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8631,RAJADHANI AC (CONVERTED METRO LUXURY),03:30,04h 00m,07:30,3.6,INR 389,"32 Seats available
14 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:00,03h 20m,07:20,4.0,INR 389,"24 Seats available
10 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:00,03h 20m,07:20,4.0,INR 389,"24 Seats available
10 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8611,Super Luxury (Non AC Seater 2+2 Push Back),04:40,04h 10m,08:50,3.4,INR 320,21 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8611,Super Luxury (Non AC Seater 2+2 Push Back),04:40,04h 10m,08:50,3.4,INR 320,21 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8694,Rajdhani (AC Semi Sleeper 2+2),05:00,03h 20m,08:20,3.6,INR 389,"26 Seats available
12 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8694,Rajdhani (AC Semi Sleeper 2+2),05:00,03h 20m,08:20,3.6,INR 389,"26 Seats available
12 Window"
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64959,Super Luxury (Non AC Seater 2+2 Push Back),05:40,04h 30m,10:10,3.1,INR 320,28 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64959,Super Luxury (Non AC Seater 2+2 Push Back),05:40,04h 30m,10:10,3.1,INR 320,28 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1321,LAHARI A/C SLEEPER CUM SEATER,05:40,03h 40m,09:20,3.7,INR 389,39 Seats available
